nome,aceite,genero,notas
Carminda,Sim,,
Carminho,Sim,F,
Carmo,Sim,F,
Carmo Sofia,Sim,,
Carmorinda,Sim,F,
Carol,Sim,F,
Carola,Não,,
Carole,Sim,,
Carolina,Sim,,
Carolina do Carmo,Sim,F,
Caroline,Não,,
Carónia,Não,,
Carrene,Não,,
Carsta,Sim,,
Cassandra,Sim,,
Cássia,Sim,F,
Cassiano,Sim,M,
Cassilda,Sim,F,
Cássio,Sim,M,
Casta,Sim,,
Castália,Não,,
Castelina,Sim,F,
Castelino,Sim,M,
Castor,Sim,M,
Castorina,Sim,,
Castra,Não,,
Catalina,Sim,,
Catarina,Sim,F,
Catarino,Sim,M,
Cate,Não,,
Catelina,Não,,
Cateline,Não,,
Caterina,Sim,F,
Catharina,Não,,
Catherina,Não,,
Catherine,Não,,
Cati,Não,,
Cátia,Sim,,
Cátia de Jesus,Sim,,
Catiana,Não,,
Catila,Sim,,
Catilina,Sim,,
Cátio,Não,,
Catiúsca,Não,,
Catrina,Não,,
Catrine,Não,,
Catuchia,Não,,
Cauã,Não,M,
Cayetana,Não,,
Ceara,Não,,
Ceárina,Não,,
Cecília,Sim,F,
Cédric,Não,,
Cedrico,Sim,,
Ceila,Não,,
Célcia,Não,,
Celder,Não,,
Celénia,Não,,
Celestiano,Não,,
Célia,Sim,,
Célica,Não,,
Celide,Não,,
Celina,Sim,F,
Celinda,Não,,
Celine,Não,,
Celinia,Sim,,
Celino,Sim,M,
Célio,Sim,M,
Celisa,Não,,
Celisia,Não,,
Celísio,Sim,,
Celite,Não,,
Celma,Não,,
Celmo,Não,,
Celsa,Sim,F,
Célsia,Não,,
Célsio,Sim,M,
Celso,Sim,M,
Celta,Não,,
Celto,Sim,M,
Celton,Não,,
Cereja,Sim,F,como segundo elemento do nome
Ceres,Sim,F,
Cesaldino,Não,,
Cesaltina,Sim,,
Cesarina,Sim,F,
Cesário,Sim,M,
Césaro,Sim,,
Céser,Não,,
Céu,Sim,,"como segundo elemento do nome, precedido da 
partícula ""do"""
Chambel,Não,,
Chandlier,Não,,
Chantal,Sim,,"de preferência precedido de ""MARIA"""
Chantel,Não,,
Chantelle,Não,,
Charbel,Sim,M,
Charifa,Não,,
Charlene,Não,,
Charli,Não,,
Charlie,Não,,
Charlotte,Não,,
Cheila,Sim,F,
Cheldecarlo,Não,,
Cheldoncarlo,Não,,
Chelsea,Não,,
Chema,Sim,,
Chenoa,Não,,
Cherricarlo,Não,,
Chevrolet,Não,,
Cheyenne,Não,,
Chianda Kady,Não,,
Chiara,Não,,
Chila,Não,,
Chimene,Não,,
Chloe,Não,F,
Chloé,Não,,
Chrisna,Não,,
Christian,Não,,
Christiana,Não,,
Christiane,Não,,
Cibele,Sim,F,
Cícero,Sim,M,
Cicínia,Não,,
Cid,Sim,,
Cidália,Sim,,
Cidalina,Sim,,
Cidalisa,Sim,F,
Cildo,Sim,,
Cilecina,Não,,
Cilene,Não,,
Cília,Não,,
Cílio,Sim,M,
Cilísia,Não,,
Cimara,Não,,
Cinara,Sim,,
Cínara,Sim,,
Cinda,Não,,
Cinderela,Sim,,
Cindi,Não,,
Cíndia,Não,,
Cinira,Sim,F,
Cinthía,Não,,
Cíntia,Sim,F,
Cinzandra,Não,,
Cipora,Sim,,
