M;     Benner
F;      Atena             
M;      Benny
F;     Athena             
M;     Bentley
F;       Atika            
M;      Bento
F;     Audrey             
M;     Bernard
F;     Augusta            
M;   Bernardim
F;   Augustine            
M;    Bernardo
F;       Aura             
M;       Beto
F;      Aurea             
M;      Bhavik
F;      Áurea             
M;    Bhavnoor
F;      Àurea             
M;   Bhernardo
F;     Aurélia            
M;     Bhubin
F;     Aurélie            
M;       Bilal
F;     Aurora             
M;       Billy
F;       Ava              
M;      Bishes
F;     Avelina            
M;      Blake
F;      Aviva             
M;       Blyth
F;     Avnoor             
M;        Bo
F;     Avonlea            
M;     Bogdan
F;   Awayhame             
M;     Bohdan
F;      Axelle            
M;     Bojidar
F;       Aya              
M;       Bóris
F;     Ayaana             
M;     Borrico
F;       Ayan             
M;      Borys
F;      Ayana             
M;    Boryslav
F;      Ayane             
M;      Bosco
F;      Ayani             
M;    Boubacar
F;     Ayanna             
M;     Bradley
F;      Ayanne               
M;    Brahim
F;       Ayara               
M;    Braian
F;        Ayat               
M;    Braiden
F;      Ayesha               
M;    Braima
F;      Ayhane               
M;    Braimy
F;       Ayira               
M;    Brainer
F;        Ayla               
M;     Brais
F;       Aylén               
M;   Brandão
F;       Aylin               
M;   Brandon
F;       Aylla               
M;    Bráulio
F;       Ayllah              
M;    Brayan
F;       Aymê                
M;   Brayane
F;      Aynara               
M;     Brayn
F;      Aynoah               
M;    Brayne
F;        Ayra               
M;     Breno
F;       Aysha               
M;     Brian
F;       Áysha               
M;     Bruce
F;       Aysia               
M;     Bruno
F;       Aysla               
M;     Bryan
F;       Ayssa               
M;   Bryanne
F;      Ayumi                
M;    Bryant
F;      Ayunni               
M;   Bubacar
F;      Ayushi               
M;   Cademo
F;     Azahara               
M;     Cadio
F;       Azaria              
M;    Caeden
F;     Azenath               
M;    Caedyn
F;        Azka               
M;      Cael
F;        Azul               
M;    Caelan
F;       Baani               
M;   Caetano
F;       Bailo               
M;     Caíco
F;        Bani               
M;     Caiel
F;       Baran               
M;     Cailan
F;     Barbara               
M;      Caio
F;     Bárbara               
M;    Caique
F;     Bareeha               
M;     Cairo
F;     Bareerah              
M;    Cairon
F;      Basant               
M;     Caleb
F;     Bassiratu             
M;    Calebe
F;       Bayan               
M;    Calixto
F;     Beatrice              
M;     Calvin
F;     Béatrice              
M;   Cameron
F;      Beatris              
M;     Camil
F;     Beatrise              
M;    Camilo
F;      Beatrix              
M;    Camtai
F;      Beatriz              
M;   Cândido
F;   Beatriz-Elena           
M;     Canfa
F;     Bebiana               
M;   Capriano
F;        Bela               
M;     Carlin
F;       Belen               
M;     Carlo
F;       Belén              
M;       Carlos
F;       Beline             
M;    Carlosjonse
F;       Belisa             
M;      Carmim
F;        Bella             
M;         Cas
F;        Belle             
M;     Casimiro
F;      Belmira             
M;     Cassiano
F;     Benedita             
M;       Cássio
F;       Benice             
M;       Castiel
F;      Benigna             
M;       Catalin
F;      Bercina             
M;        Cauã
F;     Berenice             
M;      Cayden
F;       Berfin             
M;       Cayleb
F;    Bernadette            
M;        Cayo
F;    Bernardette           
M;       Cedric
F;    Bernardina            
M;       Cédric
F;        Berta             
M;      Cedrick
F;      Betânia             
M;      Cédrick
F;      Bethany             
M;       Cedrik
F;       Betina             
M;     Celestino
F;     Béyoncé              
M;       Celino
F;   Bhagyasheree           
M;        Célio
F;      Bhavini             
M;       Celon
F;     Bhavnoor             
M;       Célsio
F;         Bia              
M;        Celso
F;       Biana              
M;        Cesar
F;       Bianca             
M;        César
F;        Biani             
M;      Cesário
F;       Bianka             
M;       Césaro
F;       Biatriz            
M;      Ceumir
F;      Bibiana             
M;        Cezar
F;         Biia             
M;        Chadi
F;     Bilguissa            
M;        Chan
F;        Binta             
M;      Charbel
F;        Binto             
M;      Charles
F;       Bintou             
M;   Charles-David
F;        Biyu              
M;       Charlie
F;      Blaydeti            
M;      Chayson
F;      Blendcy             
M;        Chaz
F;      Blessing            
M;    Cheihouba
F;     Bohdana              
M;       Cheikh
F;      Bourou              
M;     Cheikhou
F;       Branca             
M;       Cheng
F;     Breanne              
M;     Cheng-He
F;      Brearna             
M;    Chengman
F;      Brenda              
M;       Cheok
F;       Briana             
M;       Cherif
F;      Brianna             
M;      Cherno
F;     Brighitte            
M;      Chester
F;      Brígida             
M;         Chi
F;       Brigite            
M;   Chiagoziem
F;      Britney             
M;       Chico
F;        Briza             
M;      Chizara
F;   Bronoéalfate           
M;       Chon
F;     Brooklyn             
M;       Chris
F;       Bruna              
M;    Chrishmiel
F;       Bryan              
M;    Chrisland
F;      Bryana              
M;       Christ
F;     Bryanna              
M;    Christiaan
F;        Buia              
M;     Christian
F;      Byanca              
M;    Christiano
F;        Cadi              
M;   Christophe
F;     Cadiatou             
M;   Christopher
F;    Cadidjato             
M;    Christyan
F;    Cadidjatú             
M;    Chrystian
F;       Cadija             
M;      Cícero
F;       Cadijá             
M;         Cid
F;     Cadijato             
M;      Cidálio
F;     Cadijatu             
M;       Cilírio
F;     Caetana              
M;      Ciprian
F;        Caia              
M;        Ciro
F;       Caitlin            
M;      Cisaldo
F;         Cali             
M;        Cizia
F;        Calie             
M;        Clan
F;        Calli             
M;    Claudiano
F;      Callista            
M;     Claudino
F;     Camélia              
M;      Claudio
F;      Camila              
M;      Claúdio
F;      Camilia             
M;      Cláudio
F;      Camilla             
M;    Claudison
F;      Camille             
M;      Clayton
F;     Candice              
M;      Cleber
F;     Cândida              
M;      Cléber
F;       Candy              
M;     Cledilson
F;     Caoilinn             
M;    Cleidilson
F;     Capucine             
M;      Cleiton
F;       Cáren              
M;    Clemente
F;       Carina             
M;       Clesio
F;       Carine             
M;      Clever
F;       Carisa             
M;       Colin
F;        Carla             
M;      Connor
F;      Carlene             
M;   Constantin
F;      Carlize             
M;   Constantino
F;       Carlos             
M;      Cooper
F;      Carlota             
M;      Cosmin
F;     Carlotta             
M;      Crispim
F;      Carmel              
M;     Cristhian
F;      Carmen              
M;      Cristian
F;      Cármen              
M;    Cristianno
F;     Carmina            
M;       Cristiano
F;     Cármina            
M;        Cristofe
F;    Carminda            
M;      Cristopher
F;   Carminho             
M;       Cristovão
F;      Carmo             
M;       Cristóvão
F;       Carol            
M;          Cruz
F;      Carole            
M;         Curtis
F;     Carolina           
M;       Custódio
F;     Caroline           
M;         Daan
F;      Casey             
M;         Dabs
F;    Casimira            
M;       Dacouen
F;   Cassandra            
M;        Daehan
F;      Cassia            
M;        Dailson
F;      Cássia            
M;         Daivik
F;     Cassilda           
M;        Daiylon
F;     Cataleia           
M;         Daksh
F;    Cataleya            
M;        Dalton
F;     Catalina           
